"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Total_Reads"
"498","565537",9,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,16
"506","578234",1,0,43,7,0,0,0,0,35,0,2,0,1,0,3,0,0,0,56,0,2,150
"512","646413",0,0,0,1,0,0,2,1,0,0,0,0,46,1,1,1,2,0,0,2,0,57
"516","654926",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38,0,1,0,0,0,41
"518","665883",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"520","673376",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12
"522","687329",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,86,0,0,0,0,0,89
"527","687375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
"529","691966",0,1,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,180
"530","693272",1,1,0,0,0,0,0,0,1,0,0,0,19,2,0,0,0,0,0,32,0,56
"534","702718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"537","735496",0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,1,0,0,0,14
"541","749413",0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,16,0,0,0,0,39
"542","753085",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"546","754048",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,65
"548","754057",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"549","754068",1,1,4,0,4,1,2,0,1,1,3,0,2,0,0,1,2,2,0,2,2,29
"551","755272",103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105
"552","755273",2,0,2,0,2,1,0,3,1,0,1,1,4,0,0,0,0,0,0,4,3,24
"555","756282",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
"560","764030",6,2,3,10,10,8,3,0,8,8,6,4,105,5,0,7,6,0,8,12,1,212
"561","764561",5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11
"569","766178",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
"571","768739",0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,746
"572","857312",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14
"587","908819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
"592","912321",0,0,0,0,0,0,0,0,54,0,0,0,0,0,3,0,0,7,0,0,0,64
"593","915425",18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,23
"603","929833",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,10
"606","931244",0,1,4298,1,0,0,0,0,0,1,1,0,0,7,1,1,0,0,1,0,0,4312
"608","936059",1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,11
"610","940838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
"613","942165",0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,79,0,1,2,0,1,98
"620","981323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"623","988656",3,1,3,1,2,0,0,0,0,2,0,2,20,1,0,3,0,0,21,2,4,65
"626","990305",0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,2,3,12
"628","998086",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,10
"636","1048520",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11
"641","1070408",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"648","1079998",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
"649","1084719",0,2,1,0,1,0,3,0,1,0,5,0,34,0,0,0,0,1,0,0,3,51
"655","1109715",0,0,0,0,0,0,0,0,0,0,0,1,255,0,0,0,0,0,0,0,0,256
"656","1109716",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"662","1127516",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,5
"663","1128131",38,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"669","1136535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"672","1141137",0,0,1,0,2,0,0,0,0,0,0,77,0,0,8,16,0,1,2,0,0,107
"673","1144381",0,1,2,1,2,0,1,0,1,0,2,0,0,1,0,0,2,0,1,5,0,19
"683","1161927",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
"684","1161939",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,13
"685","1162290",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"687","1165908",1,0,1,2,2,2,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0,16
"691","1168837",0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,67
"693","1194091",2,0,1,1,5,2,1,3,2,1,2,0,1,4,0,1,6,1,2,0,0,35
"698","1197952",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"699","1204521",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"702","1204538",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
"703","1204539",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5
"704","1206110",4,0,45,0,0,0,0,0,35,0,3,2,1,1,0,0,0,38,43,0,0,172
