"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Total_Reads"
"218","79700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4
"220","82830",0,8,0,3,9,5,0,0,8,1,0,6,0,0,4,0,3,6,0,5,1,3,1,0,6,69
"222","85154",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,460
"223","85618",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"226","90410",0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,10,31,0,0,0,0,0,0,1,51
"227","93678",0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,59,11,0,0,1,0,82
"231","102294",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
"235","104664",0,4,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,2,26,92
"236","106331",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"237","106332",0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"240","111469",0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,13,0,0,6,0,0,0,0,0,0,33
"241","112023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33
"246","120381",0,7,0,1,2,0,0,0,0,1,2,1,5,74,6,1,27982,1,7,1,4,37,6,0,0,28138
"248","120686",1,2,2,0,5,0,0,3,0,0,3,7,4,2,2,6,5,1,5,67293,1,1,6,3,0,67352
"250","128706",0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,10
"252","129726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
"256","130310",5,5,4,8,6,9,5,8,5,0,9,4,7,11,5,17,6,0,6,7,5,5,11,1,1,150
"259","137443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,106
"261","138949",1,0,82,1,2,0,1,0,0,1,0,1,0,0,2,0,2,1,0,0,0,0,1,1,6,102
"262","139871",1,732,0,2,0,501,0,0,0,1,10,0,0,0,0,0,30,114,0,0,0,0,3,0,4,1398
"265","146015",3,3,0,1,1,1,0,0,1,0,0,7,0,1,5,0,1,0,0,7,1,0,3,0,0,35
