"","Viral_Species","Vogue1A.01.61","Vogue1A.01.106","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101"
"156",138949,19,0,0,2,0,0,2,0,0,0,0,0,0,675,0,1,1,1,1,0,1
"157",139871,1,0,35,0,0,0,0,0,0,0,0,23,7,0,0,0,0,4,1,0,0
"158",146015,0,2,2,0,2,3,2,2,0,0,3,1,0,2,2,1,3,0,2,4,2
"159",148339,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"160",150546,18,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0
"161",151340,1081,35,62,1,1023,47,30,58,18,12287,37,48,95,100605,27,53,37,25,182,643,31
"162",151599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"163",153135,0,0,0,0,0,16,0,0,13,0,0,0,4,0,0,0,1,0,12,0,1
"164",157924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"165",161494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"166",170325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"167",171370,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"168",173087,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",180230,3,3,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1
"170",181083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"171",181215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"172",181216,0,1,0,0,2,1,0,0,0,0,1,2,0,11,0,1,1,0,0,0,1
"173",181217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"174",182851,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0
"175",186617,1,1,8,8,0,0,0,0,2,0,25,1,0,1,2,0,0,0,1,0,1
"176",186764,0,0,0,0,0,1,0,0,364,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"177",186765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",187397,0,2,2,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,2,1,0
"179",188763,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"180",192584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"181",193121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"182",196894,12,1,13,1,4,2,2,2,20,2,4,3,7,10,0,5,2,0,63,1,3
"183",196895,0,0,0,0,0,0,0,0,325,1,0,0,0,0,0,0,0,0,0,0,0
