"","Viral_Species","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"299",1278252,0,1,0,0,0,0,0,0
"300",1278270,1,0,0,0,0,1132,0,0
"301",1279083,1,16,2,1,133,1,2,0
"302",1283079,0,0,0,0,1,0,0,0
"303",1289570,0,250,0,0,0,0,0,0
"304",1289595,0,7,0,0,0,0,0,0
"305",1289596,0,736,0,0,0,0,0,0
"306",1289597,0,0,0,1,0,0,0,0
"307",1289601,0,18,0,0,0,0,0,0
"308",1293539,0,0,0,0,2,0,0,0
"309",1296660,0,0,0,1,0,0,0,0
"310",1301220,0,1,0,0,0,0,0,0
"311",1307956,0,0,0,1,0,0,0,0
"312",1327037,0,2,0,0,0,0,0,0
"313",1327993,0,17,0,0,0,0,0,0
"314",1335230,0,0,0,0,0,108,0,0
"315",1349409,2,0,0,0,0,100,1,0
"316",1349410,24,1,13,15,1,23,3,1
"317",1367203,0,0,1,0,0,0,0,0
"318",1367205,0,1,0,0,0,0,2,0
"319",1385385,0,3,0,0,0,0,0,0
"320",1392231,0,400,0,0,0,0,0,0
"321",1398177,8,0,2,2,0,2,0,0
"322",1399941,0,0,0,1,156,0,30,3
"323",1416334,0,0,0,0,0,1,0,2
"324",1421421,2,0,1,3,0,3,8,0
"325",1421422,3,0,3,2,0,1,39,0
"326",1421423,0,0,0,0,0,0,0,1
"327",1421424,0,0,1,2,0,0,0,0
"328",1429768,0,3,0,0,0,0,0,0
"329",1445729,0,2,0,0,0,0,0,0
"330",1445858,0,1,0,0,0,0,0,0
"331",1450746,0,0,0,0,0,7,1,0
"332",1458860,0,0,0,0,1,0,0,0
"333",1464074,0,1,0,0,0,0,0,0
"334",1472911,1,0,0,0,0,0,0,0
"335",1474867,0,2,0,0,0,3,0,0
"336",1484958,8,7,8,5,10,64,4,8
"337",1486472,0,5,0,0,0,0,0,0
"338",1493511,0,0,0,0,1,0,0,0
"339",1504288,1,0,0,0,0,0,0,0
"340",1518022,1,0,0,4,0,0,0,0
"341",1520006,0,0,0,0,0,0,1,0
"342",1527771,0,0,0,0,5,0,0,0
"343",1535247,0,1,0,0,0,0,0,0
"344",1551642,0,1,0,0,0,0,0,0
"345",1562076,0,1,0,0,0,0,0,0
"346",1566990,0,40,0,0,0,0,0,0
"347",1567453,0,1,0,0,0,0,113,0
"348",1567485,0,0,0,0,2,0,0,0
"349",1574422,0,7,0,0,0,0,0,0
"350",1589270,0,5,0,0,0,1,0,0
"351",1592335,0,0,0,0,0,0,0,1
"352",1597976,0,4,0,0,0,0,0,0
"353",1605721,3,1,1,0,1,2,0,1
"354",1606502,0,0,0,1,0,0,0,0
"355",1610831,5,1,3,8,1,4,1,0
"356",1610872,0,11,0,0,0,0,0,0
"357",1619217,0,0,0,0,0,1,0,0
"358",1622193,0,3,0,0,0,0,0,0
"359",1623300,0,38,0,0,0,0,23,0
"360",1623303,0,9,0,0,0,0,0,0
"361",1623304,0,28,0,0,0,0,0,0
"362",1640978,0,8,0,0,0,0,0,0
"363",1642929,0,0,0,1,0,0,0,0
"364",1654582,1,0,0,0,0,2,0,0
