"","Viral_Genus","Vogue1A.01.61","Vogue1A.01.106","Vogue1B2.01.11","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101","Vogue1B.01.03","Vogue1B.01.48"
"107","Prymnesiovirus",11,5,2,2,0,3,9,1,2,6,1,51,5,1,9,3,2,4,9,2,0,5,8,0,0,3,3,0,10,0,1,4,1,5,0,1,0,3,1,1,3,0,3,3,1,3,2,6,1,3,2,6,6,13
"108","Ranavirus",3,0,8,2,0,1,1,2,0,32,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,5,0,0,6,0,1,29,0,8,0,0,0,0,0,2,2,0,2,0,0,1,2,3,1,4,1,2,0,2
"109","Rhabdoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Rhadinovirus",0,2,0,0,0,0,1,0,7,1,0,0,2,0,0,0,0,0,8,9,0,3,0,0,0,0,0,3,0,13,1,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
"111","Roseolovirus",16,13,29,15,2,11,28,10,8,42,1,11,30,1,9,2,2,10,17,4,0,0,6,7,3,28,6,0,24,1,35,12,3,111,2,2,2,0,1,14,28,0,71,11,1,12,13,32,7,13,10,20,26,24
"112","Sap6likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"113","Sfi1unalikevirus",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,931,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Sfi21dtunalikevirus",1,0,0,0,0,2,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,10,1947,0,0,0,0,0,1,138,0,0,0,0,40,0,0,0,0,2,0,0,0,0,0
"115","Simplexvirus",1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,2,0,0,0,8,0,1,0,0,0,112,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1
"116","Skunalikevirus",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","T4likevirus",0,0,0,0,0,0,0,1,7,14,0,0,0,0,0,1,0,0,0,0,88,0,0,0,0,2,17,6,0,0,0,4,9,0,17,39,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"118","T5likevirus",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","T7likevirus",6,10,1,4,3,4,4,2,15,137,9,86,1,1,26,2,0,2,10,4,1,2,6,1,2,0,3,1,1,44,3,30,106,4,9,17,0,10,17,0,2,45,0,0,1,1,1,3,1,2,1,3,2,0
"120","Tobamovirus",0,0,0,0,0,0,0,0,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,1
"121","Totivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Twortlikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Upsilonpapillomavirus",2,0,0,1,0,0,3,0,0,0,0,1,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
"124","Varicellovirus",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,16,5,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,1
"125","Whispovirus",7,0,0,0,0,4,2,4,0,3,0,19,2,0,0,1,0,0,1,12,0,0,1,7,1,0,0,1,0,0,0,50,0,1,0,0,0,0,0,0,0,0,1,3,0,4,8,5,0,0,0,1,0,5
