Viral_Species,1,2,3,4,5,6,7
Lactococcus phage 1358, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage 1706, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage c2, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage CB13, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage phiL47, .  , .  , .  , .  , .  , .  , .  
Lambdina fiscellaria nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Leucania separata nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Leuconostoc phage LLC-1, .  , .  , .  , .  , .  , .  , .  
Leuconostoc phage Ln-9, .  , .  , .  , .  , .  , .  , .  
Leuconostoc phage phiMH1, .  , .  , .  , .  , .  , .  , .  
Lymantria dispar multiple nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Lymphocryptovirus, .  , .  , .  ,157496, .  , .  , .  
Macaca fascicularis papillomavirus type 1, .  , .  , .  , .  , .  , .  , .  
Macaca fascicularis papillomavirus type 5, .  , .  , .  , .  , .  , .  , .  
Macaca fascicularis papillomavirus type 6, .  , .  , .  , .  , .  , .  , .  
Macaca fascicularis papillomavirus type 7, .  , .  , .  , .  , .  , .  , .  
Macaca fascicularis papillomavirus type 8, .  , .  , .  , .  , .  , .  , .  
Macacine herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Macacine herpesvirus 3, .  , .  , .  , .  , .  , .  , .  
Macacine herpesvirus 4, .  , .  , .  , .  , .  , .  , .  
Macropodid herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Mamestra brassicae multiple nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Marseilleviridae, .  , .  , .  , .  , .  , .  , .  
Mastadenovirus, .  , .  , .  , .  , .  , .  , .  
Megavirus courdo11, .  , .  , .  , .  , .  , .  , .  
Megavirus lba, .  , .  , .  , .  , .  , .  , .  
Merkel cell polyomavirus, .  , .  , .  , .  , .  , .  , .  
